AdvisorTrac Lab and Subject Report,,,
Dates from 12/04/2023 to 12/09/2023,Visits,Hours,Students

CIS/Programming Total,4,5.91,2
Math Total,18,41.75,12
Other Total,1,0.17,1
DC Math Lab Total,23,47.84,15

Workshop Total,1,1.52,1
Writing Total,24,206.60,16
DC Writing Lab Total,25,208.12,17

Chemistry Total,2,3.55,2
CIS/Programming Total,3,4.86,2
Math Total,34,69.07,19
Other Total,7,18.70,5
SV Math Lab Total,46,96.19,28

Other Total,3,5.84,2
Reading Total,1,0.39,1
Social Sciences Total,2,2.68,1
Workshop Total,1,1.14,1
Writing Total,29,46.99,19
SV Writing Lab Total,36,57.06,24

Grand Total,130,409.24,84
